userID,    username,    password,    email,    phoneNumber
9603a513-c424-4fb7-97bb-6ae8a34e80ad,Justin,mypass,myemail,905
4c0131bc-2e2b-4693-89b6-13bcd511d44c,Tuname,Temail,Tpass,Tpn

476cfc7e-59b8-4ccb-8091-f675242d0501,UpU,Uppass,Uemail,Upn
df0deff1-dc7e-4fc3-9115-205f61444515,Tuname,Temail,Tpass,Tpn

2889d477-bab0-41c3-a958-324a05af3bc9,UpU,Uppass,Uemail,Upn
1d4796ff-50ac-4c90-a03c-0ab6906fcbac,Tuname,Temail,Tpass,Tpn

9b488bde-26ac-4b88-be7f-08672f69829c,UpU,Uppass,Uemail,Upn
7eee9cda-603e-46ba-a1bc-563c3efcabaf,Tuname,Temail,Tpass,Tpn

a13b05ca-9ec7-4a5b-83eb-ec684da884ce,UpU,Uppass,Uemail,Upn
3880020f-26e1-4791-a968-6890568cedcf,Tuname,Temail,Tpass,Tpn

679f3823-8f01-48fe-b4fe-746a5ab08707,UpU,Uppass,Uemail,Upn
f8f03dc2-eaf0-4818-bb65-99d590c532a8,Tuname,Temail,Tpass,Tpn
